skill_match_count,experience,suitability_score
20,14,60
7,15,41
12,29,53
19,2,17
0,16,54
17,28,57
16,2,2
20,4,7
20,5,7
19,5,4
9,27,89
20,17,99
5,5,12
11,25,28
6,4,85
8,30,70
18,2,81
20,1,68
7,9,79
17,18,21
17,12,64
2,15,31
20,28,95
15,6,25
19,19,55
12,8,40
8,15,82
12,18,96
19,20,81
5,30,51
7,5,17
2,30,45
4,13,73
0,18,23
17,2,90
9,1,36
7,28,61
1,7,50
14,5,69
11,15,45
17,26,16
20,27,51
18,0,77
3,5,98
7,11,75
11,8,92
18,24,25
8,12,56
1,6,44
3,17,96
6,28,25
17,14,7
12,16,16
6,0,77
7,6,83
17,8,72
4,19,52
17,4,97
2,7,100
17,18,54
12,1,27
8,22,85
7,11,6
12,13,70
5,17,2
17,2,99
5,22,86
10,10,36
4,7,84
16,6,1
18,28,57
13,1,4
4,12,74
7,10,48
10,25,24
19,20,47
12,28,28
0,11,66
15,3,89
3,25,17
12,0,29
8,7,36
9,19,41
14,9,64
13,25,99
2,14,14
8,27,4
8,29,79
16,0,94
4,10,16
11,3,18
2,29,75
15,28,72
0,4,36
17,9,5
2,22,53
12,20,96
4,26,66
15,22,40
18,25,39
0,1,32
15,10,71
0,3,3
7,24,42
20,2,55
18,23,88
13,6,75
0,4,59
9,28,83
1,2,88
4,0,85
20,12,44
15,12,40
2,25,78
16,6,92
14,24,18
8,19,22
10,29,85
12,29,41
14,19,47
13,11,60
17,2,16
8,4,97
11,26,97
11,3,57
17,19,56
15,27,22
9,2,86
10,4,24
20,13,41
15,28,91
10,19,24
6,30,90
8,9,97
10,20,20
5,20,98
19,29,45
11,13,17
17,22,40
19,7,31
10,2,10
12,12,74
13,9,2
16,27,61
4,29,19
0,19,33
19,3,22
1,26,5
11,3,69
9,25,62
13,24,40
17,1,20
0,3,30
7,19,39
17,0,43
9,17,82
12,27,69
11,0,40
3,20,87
16,1,64
8,19,95
13,1,61
14,0,66
7,4,32
8,1,78
1,21,64
18,8,9
15,19,78
16,7,22
0,7,41
2,18,78
2,28,6
1,8,97
17,5,64
7,14,88
12,22,68
6,2,61
5,10,86
2,21,89
11,14,82
18,11,14
12,26,48
4,16,38
17,9,24
11,8,56
9,6,98
8,5,25
8,1,80
8,25,85
7,9,49
5,6,48
15,6,24
3,4,16
11,11,56
13,27,71
16,15,38
2,0,82
8,1,59
4,5,18
12,22,30
10,27,13
8,29,40
7,0,70
18,6,52
3,16,41
18,28,31
8,27,31
2,18,77
10,13,42
0,29,69
0,24,2
20,10,81
17,4,56
20,18,94
11,20,4
3,18,69
3,30,71
13,17,12
12,18,64
9,4,41
19,26,6
11,22,97
9,2,3
2,10,29
12,9,6
13,16,16
8,30,6
6,19,61
14,18,56
13,29,52
6,1,89
4,27,38
9,16,95
10,6,26
20,3,39
13,6,60
10,5,58
20,9,100
17,28,74
17,9,95
13,10,34
18,12,1
7,9,82
9,16,59
11,25,56
14,19,45
4,1,44
19,26,24
13,6,19
20,10,40
18,17,91
19,22,42
20,3,45
17,3,61
13,26,37
5,27,81
2,7,60
9,21,99
5,28,85
15,20,50
9,22,39
3,27,33
13,20,100
16,24,22
4,14,20
0,9,77
3,17,30
4,17,93
17,26,41
12,5,15
1,30,55
16,13,6
8,8,39
3,4,38
13,12,94
4,3,49
9,25,96
4,17,1
19,11,77
9,18,46
13,14,87
0,14,84
15,0,72
3,30,62
18,9,41
15,17,74
10,6,33
9,2,54
3,27,94
5,15,69
1,16,57
20,10,31
0,20,85
15,3,22
3,0,20
1,29,78
19,6,15
0,18,91
2,13,57
10,8,98
9,15,47
9,17,52
17,9,94
4,24,85
4,22,21
10,13,85
14,21,52
18,6,34
15,8,27
3,17,94
11,10,48
1,27,52
18,11,7
6,0,6
8,25,29
9,9,65
12,15,80
10,22,8
1,2,32
3,13,96
8,25,36
14,10,52
8,23,47
3,14,63
0,7,51
18,12,90
10,8,74
17,5,92
15,27,82
4,11,74
10,17,43
20,20,40
12,9,16
11,12,67
20,27,24
0,3,36
17,3,32
14,0,42
14,28,51
10,29,64
6,11,99
0,9,66
18,4,35
0,26,40
1,30,36
20,29,7
11,17,46
0,12,66
8,1,63
18,15,44
1,29,42
14,13,48
9,25,93
16,28,62
15,26,26
16,29,95
3,7,47
4,15,58
0,6,41
7,20,46
20,16,22
10,30,16
12,17,67
13,5,51
1,7,86
3,12,9
3,8,40
12,25,32
12,7,4
14,29,61
1,9,21
20,7,35
2,4,43
16,11,88
18,5,91
8,26,35
13,24,88
12,13,26
1,2,29
17,5,9
10,10,32
16,27,58
19,18,25
0,15,78
11,9,60
20,14,9
0,21,24
18,24,78
16,27,10
14,14,70
18,1,70
10,11,67
20,2,88
20,3,6
15,20,40
10,14,53
10,11,9
7,26,19
9,11,63
6,28,86
4,7,6
7,3,87
13,8,33
0,28,78
10,24,27
15,18,93
12,3,24
15,9,78
0,12,94
3,17,35
8,18,54
8,22,15
5,30,90
8,12,13
17,5,49
1,16,30
7,22,66
18,22,99
0,30,0
7,21,61
5,22,15
8,13,71
16,25,5
18,10,98
16,21,88
12,19,15
12,9,87
20,20,47
12,2,83
18,22,65
6,5,21
4,9,36
10,14,5
0,24,76
15,2,26
11,21,4
3,21,27
1,4,3
12,7,69
11,9,20
8,19,81
20,18,56
13,26,74
11,25,57
16,0,43
12,18,42
14,20,52
15,29,55
3,25,34
2,20,17
10,19,88
6,6,47
16,25,70
1,10,99
0,13,99
6,18,3
2,8,78
16,1,33
4,27,77
5,23,97
12,6,62
8,1,47
20,19,99
15,0,90
8,5,32
11,1,53
6,7,67
18,8,23
16,7,10
5,15,17
8,20,87
8,7,9
0,14,33
16,28,99
11,26,14
18,18,56
9,22,57
15,16,73
3,0,63
10,4,14
3,24,56
5,18,99
10,4,58
8,14,45
20,26,59
14,23,88
7,7,49
9,21,97
15,4,34
4,29,35
12,20,46
4,9,34
0,10,20
9,28,38
11,1,42
3,1,34
3,19,60
8,11,93
9,10,81
20,9,31
19,3,86
2,30,89
11,6,41
9,0,38
18,23,1
12,5,35
2,15,39
8,6,72
7,14,99
8,7,26
17,25,5
19,23,92
15,15,62
6,19,99
1,4,45
3,10,99
5,2,49
2,25,1
4,13,1
1,28,72
5,12,73
12,1,91
9,10,70
19,3,51
17,7,32
2,15,34
6,30,43
20,2,65
12,11,86
16,23,61
14,30,1
11,26,97
20,5,26
11,18,37
6,13,61
19,25,40
7,18,100
13,7,37
8,11,66
7,17,99
11,27,9
18,24,22
18,0,77
3,12,68
18,17,84
1,17,5
18,18,33
15,1,81
9,0,43
20,2,17
1,15,55
8,5,65
6,13,44
7,27,69
1,9,76
19,13,0
5,26,92
7,29,14
10,7,30
13,13,77
10,30,71
14,1,88
14,7,20
19,18,11
17,11,72
7,20,11
14,1,28
19,15,69
7,23,37
11,19,84
19,29,60
17,1,89
17,19,23
4,12,74
5,25,69
16,19,35
8,20,47
17,24,33
14,25,18
9,20,4
16,28,15
6,26,86
18,9,90
4,30,93
18,30,21
3,10,60
13,23,19
12,30,27
20,1,69
15,19,27
1,30,8
14,18,11
19,28,24
11,2,81
20,17,99
5,5,78
16,22,66
3,25,11
14,3,18
20,28,68
0,3,91
0,7,22
15,15,93
7,12,79
6,21,26
5,27,42
20,23,88
4,3,35
8,22,31
8,5,43
1,24,93
7,20,62
1,28,23
16,13,76
12,25,78
13,24,34
3,17,10
19,12,83
20,4,96
10,26,82
1,9,31
10,6,2
17,11,6
1,1,97
11,21,51
18,10,75
14,19,18
1,10,31
14,22,53
15,2,5
5,25,91
13,28,75
7,26,45
17,5,89
1,0,55
8,4,43
9,21,53
19,11,93
4,17,17
19,0,56
15,0,29
12,28,4
12,11,85
7,19,79
3,25,87
7,23,76
9,14,93
10,9,72
1,27,57
10,17,88
6,30,66
2,29,17
11,18,57
10,29,40
16,24,76
13,17,86
11,7,76
1,20,3
3,8,100
6,24,7
18,23,49
14,4,76
12,28,22
3,28,12
6,27,5
18,29,67
14,19,30
15,18,24
3,12,54
16,30,52
9,3,1
17,25,91
2,6,7
9,17,65
18,8,13
2,10,21
17,21,10
6,10,42
2,12,41
13,28,54
20,19,55
13,10,27
7,27,90
1,20,95
6,21,96
11,7,61
13,26,77
5,19,44
10,19,76
11,24,55
9,26,7
7,6,29
19,0,14
3,5,58
0,24,87
10,17,88
10,7,42
10,24,5
12,28,47
6,8,28
19,9,91
11,24,78
4,30,18
14,22,78
4,10,25
9,23,45
18,27,11
7,11,31
5,14,66
1,13,14
2,16,53
0,20,72
10,18,79
0,16,34
7,6,29
2,11,84
10,27,28
16,10,7
7,10,93
13,16,0
13,13,18
14,0,42
2,14,86
0,10,28
13,2,27
6,3,9
9,8,60
5,5,39
19,28,25
19,8,81
15,16,50
14,6,61
12,28,38
0,19,78
7,3,57
7,15,37
1,7,20
9,6,36
18,6,48
6,3,13
2,28,85
11,16,81
8,25,0
1,5,36
18,29,41
5,30,53
15,28,73
17,24,7
18,14,59
1,19,19
2,7,42
7,2,28
19,23,71
10,13,56
9,19,0
8,2,15
9,12,11
12,10,29
4,4,8
17,12,81
12,27,14
20,27,11
11,17,74
17,24,41
12,1,38
8,1,19
4,10,26
11,2,90
13,1,90
16,20,29
2,2,49
4,18,13
12,17,1
16,4,38
9,3,38
6,12,21
13,2,9
0,2,64
0,7,58
10,0,36
15,11,89
16,26,54
20,4,100
10,16,12
19,25,40
7,20,87
14,22,9
10,24,65
10,20,62
10,14,94
10,29,49
4,8,97
2,28,40
0,16,30
11,25,77
17,26,43
16,27,86
5,12,98
9,17,13
1,16,93
11,22,79
8,16,32
17,3,75
11,26,64
16,2,54
10,9,69
9,13,25
1,8,15
9,2,38
10,6,0
13,20,1
3,15,91
0,30,68
9,21,23
19,6,61
14,25,4
0,3,24
15,1,55
9,3,25
13,27,49
5,9,55
2,23,27
12,3,96
13,7,20
19,8,37
9,30,58
16,2,6
1,18,99
2,1,8
4,7,61
15,19,27
19,15,60
12,0,17
1,23,74
7,30,9
6,11,13
20,15,80
2,20,12
3,2,65
18,12,63
18,21,71
4,2,60
6,12,48
0,20,91
17,29,53
18,9,41
4,18,85
5,7,82
0,7,60
5,9,10
11,23,29
11,25,93
8,19,47
1,10,21
20,1,61
18,22,18
4,9,62
13,7,4
16,1,37
12,21,12
17,21,5
13,6,94
3,7,59
7,26,58
13,18,39
20,24,34
9,0,6
20,27,82
14,1,9
9,13,38
19,4,11
7,0,45
20,11,70
6,12,62
2,18,69
14,28,88
3,27,34
12,8,90
2,29,41
1,13,71
6,26,5
18,27,67
18,10,90
20,0,1
2,20,16
18,25,34
0,10,41
9,12,91
13,16,48
19,16,75
14,1,57
3,23,89
9,18,8
1,2,42
5,25,69
1,10,43
17,9,87
17,9,76
14,9,72
5,27,71
19,23,54
16,15,97
6,6,96
19,12,33
16,19,33
13,29,74
11,24,58
18,29,88
3,1,50
14,25,59
8,23,76
14,11,55
3,20,55
7,5,80
6,13,29
18,1,100
19,17,84
5,6,27
7,29,0
10,6,18
9,22,66
9,21,91
0,6,34
17,27,79
5,18,34
3,11,94
14,18,77
11,7,37
2,20,45
0,4,17
18,17,48
13,5,19
7,21,43
7,26,44
5,1,71
16,28,62
17,2,83
13,22,42
13,21,68
16,30,34
5,4,53
19,26,7
18,29,38
10,24,27
13,23,49
6,17,98
20,11,65
12,26,17
9,24,5
18,29,60
0,0,88
16,17,27
4,12,50
13,9,64
17,25,69
16,19,24
0,5,25
1,6,80
14,30,23
19,22,34
11,3,24
18,21,10
0,20,90
17,22,5
6,5,44
5,3,88
19,7,12
3,19,78
1,24,4
20,5,24
16,0,76
15,30,98
14,15,92
3,15,60
3,15,28
0,9,43
2,14,51
2,13,78
20,27,8
1,15,93
20,18,7
20,16,42
15,26,56
1,22,7
9,1,96
11,3,61
16,18,32
13,9,0
5,12,6
4,19,55
17,29,9
15,19,68
0,1,32
11,20,53
14,29,93
0,16,100
0,29,27
11,5,26
12,3,36
0,8,81
